Order,Family,Genus,Current_Identification,Mass,FL_Breast,DL_Breast,PL_Breast,PDL_Breast,PPL_Breast,AD_Breast,AP_Breast,AT_Breast,PAD_Breast,PAP_Breast,FL_Back,DL_Back,PL_Back,PDL_Back,PPL_Back,AD_Back,AP_Back,AT_Back,PAD_Back,PAP_Back,FL_Head,DL_Head,PL_Head,PDL_Head,PPL_Head,AD_Head,AP_Head,AT_Head,PAD_Head,PAP_Head,Country/Continent/Ocean,State/Province,Precise_Location,Station,Longitude,Latitude,Temperature,Rainfall,Museum,Notes,Feather
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,34.451,17.195,17.256,0.499114685,0.500885315,482.531,281.084,763.615,0.631903512,0.368096488,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Zygia,,-76.66357994,3.445342173,17.8,2042,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,24.141,13.415,10.726,0.555693633,0.444306367,134.458,118.983,253.441,0.530529788,0.469470212,25.808,14.528,11.28,0.562926224,0.437073776,275.481,124.359,399.84,0.688978091,0.311021909,18.364,7.573,10.791,0.412382923,0.587617077,100.398,104.772,205.17,0.489340547,0.510659453,Colombia,,,,-73.425,4.5811111,18.4,4220,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,24.065,12.58,11.485,0.522750883,0.477249117,212.641,121.415,334.056,0.636542975,0.363457025,24.831,12.58,12.251,0.506624784,0.493375216,231.232,152.182,383.414,0.603087003,0.396912997,18.988,5.766,13.222,0.303665473,0.696334527,98.446,86.276,184.722,0.532941393,0.467058607,Colombia,,,,-73.4258333,4.5861111,18.7,4020,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,29.073,14.18,14.893,0.487737764,0.512262236,353.723,253.39,607.113,0.58263124,0.41736876,19.547,9.8,9.747,0.501355707,0.498644293,149.934,87.437,237.371,0.631644135,0.368355865,20.866,8.686,12.18,0.41627528,0.58372472,136.696,11.39,148.086,0.923085234,0.076914766,Colombia,,,,-74.2458056,4.93875,12.5,941,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,26.569,11.472,15.097,0.431781399,0.568218601,289.107,177.916,467.023,0.619042317,0.380957683,24.134,11.902,12.232,0.493163172,0.506836828,204.737,164.579,369.316,0.554368075,0.445631925,17.18,5.278,11.902,0.307217695,0.692782305,74.214,95.8,170.014,0.436516993,0.563483007,Colombia,,,,-74.2458056,4.93875,12.5,941,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Amazilia,Amazilia amabilis,4,19.411,9.174,10.237,0.472618618,0.527381382,142.506,85.685,228.191,0.624503157,0.375496843,21.312,8.966,12.346,0.420701952,0.579298048,177.11,130.018,307.128,0.576665104,0.423334896,12.427,4.187,8.24,0.336927658,0.663072342,60.028,59.125,119.153,0.503789246,0.496210754,Colombia,,,,-74.7801389,4.6532778,27,1217,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Amazilia,Amazilia cyanifrons,5,24.276,13.485,10.791,0.555486901,0.444513099,246.447,115.941,362.388,0.680063909,0.319936091,27.194,13.071,14.123,0.480657498,0.519342502,283.057,170.036,453.093,0.624721636,0.375278364,16.484,4.582,11.902,0.277966513,0.722033487,66.495,99.509,166.004,0.400562637,0.599437363,Colombia,,,,-73.520214,5.634333,16.2,1060,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Amazilia,Amazilia cyanifrons,5,17.875,8.129,9.746,0.454769231,0.545230769,88.26,79.758,168.018,0.525300861,0.474699139,22.953,12.585,10.368,0.548294341,0.451705659,206.048,113.902,319.95,0.644000625,0.355999375,14.492,4.645,9.847,0.320521667,0.679478333,69.471,68.862,138.333,0.50220121,0.49779879,Colombia,,,,-73.520214,5.634333,16.2,1060,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Amazilia,Amazilia franciae,5,46.943,21.779,25.164,0.463945636,0.536054364,557.744,542.348,1100.092,0.506997597,0.493002403,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Chicoral,LM03,-76.58,3.56,19.1,1545,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Amazilia,Amazilia franciae,5,21.979,10.076,11.903,0.4584376,0.5415624,151.517,130.4,281.917,0.537452513,0.462547487,19.495,8.87,10.625,0.454988459,0.545011541,134.754,97.962,232.716,0.579049141,0.420950859,16.38,4.674,11.706,0.285347985,0.714652015,83.75,112.995,196.745,0.425677908,0.574322092,Colombia,,,,-75.1835278,5.8863333,21.1,3637,IAvH,,"Breast, back and head"
